Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
3,1000,0.0,0.0,10.0,1000,24306,1815,51,9977.692383,0.005111
4,1000,0.0,0.0,10.0,1000,23584,1744,51,9668.429688,0.005275
5,1000,0.0,0.0,10.0,1000,23921,1745,51,9818.617188,0.005194
6,1000,0.0,0.0,10.0,1000,24121,1779,51,9938.324219,0.005132
7,1000,0.0,0.0,10.0,1000,25192,1886,51,10335.227539,0.004935
8,1000,0.0,0.0,10.0,1000,24719,1819,51,10126.320312,0.005036
9,1000,0.0,0.0,10.0,1000,24707,1853,51,10169.033203,0.005015
10,1000,0.0,0.0,10.0,1000,24674,1851,51,10118.706055,0.005040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,24035,1777,51,9857.485352,0.005174
2,1000,0.0,0.0,10.0,1000,24675,1823,51,10115.756836,0.005042
3,1000,0.0,0.0,10.0,1000,24306,1815,51,9977.692383,0.005111
4,1000,0.0,0.0,10.0,1000,23584,1744,51,9668.429688,0.005275
5,1000,0.0,0.0,10.0,1000,23921,1745,51,9818.617188,0.005194
6,1000,0.0,0.0,10.0,1000,24121,1779,51,9938.324219,0.005132
7,1000,0.0,0.0,10.0,1000,25192,1886,51,10335.227539,0.004935
8,1000,0.0,0.0,10.0,1000,24719,1819,51,10126.320312,0.005036
9,1000,0.0,0.0,10.0,1000,24707,1853,51,10169.033203,0.005015
10,1000,0.0,0.0,10.0,1000,24674,1851,51,10118.706055,0.005040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,23396,1748,50,9719.298828,0.005144
2,1000,0.0,0.0,10.0,1000,24077,1778,50,9824.007812,0.005090
3,1000,0.0,0.0,10.0,1000,24910,1812,50,10157.469727,0.004922
4,1000,0.0,0.0,10.0,1000,24168,1803,50,9920.330078,0.005040
5,1000,0.0,0.0,10.0,1000,25225,1840,50,10335.320312,0.004838
6,1000,0.0,0.0,10.0,1000,25032,1849,50,10256.093750,0.004875
7,1000,0.0,0.0,10.0,1000,25331,1919,50,10389.460938,0.004813
8,1000,0.0,0.0,10.0,1000,24468,1796,50,10024.773438,0.004988
9,1000,0.0,0.0,10.0,1000,24449,1856,50,10030.227539,0.004985
10,1000,0.0,0.0,10.0,1000,25161,1876,50,10297.738281,0.004855
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,12337,9034,5,49495.207031,0.000101
2,1000,0.0,0.0,50.0,1000,12088,8815,5,48498.894531,0.000103
3,1000,0.0,0.0,50.0,1000,12303,8960,5,49379.574219,0.000101
4,1000,0.0,0.0,50.0,1000,12881,9426,5,51694.730469,0.000097
