Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,,
4,1000,0.8,0.2,50.0,1000,35854,7109,981,50612.296875,0.019383
5,1000,0.8,0.2,50.0,1000,38070,7564,991,49501.875000,0.020019
6,1000,0.8,0.2,50.0,1000,38410,7706,983,50262.171875,0.019557
7,1000,0.8,0.2,50.0,1000,37418,7351,984,48991.105469,0.020085
8,1000,0.8,0.2,50.0,1000,37968,7681,987,50186.300781,0.019667
9,1000,0.8,0.2,50.0,1000,38264,7745,997,49838.949219,0.020004
10,1000,0.8,0.2,50.0,1000,38737,7737,993,52058.597656,0.019075
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,1000,999,999,48331.097656,0.020670
2,1000,0.0,0.0,50.0,1000,1000,999,999,50161.519531,0.019916
3,1000,0.0,0.0,50.0,1000,1000,999,999,49187.621094,0.020310
4,1000,0.0,0.0,50.0,1000,1000,999,999,50264.628906,0.019875
5,1000,0.0,0.0,50.0,1000,1000,999,999,50017.492188,0.019973
6,1000,0.0,0.0,50.0,1000,1000,999,999,49845.222656,0.020042
7,1000,0.0,0.0,50.0,1000,1000,999,999,50909.996094,0.019623
8,1000,0.0,0.0,50.0,1000,1000,999,999,50207.347656,0.019897
9,1000,0.0,0.0,50.0,1000,1000,999,999,48940.335938,0.020413
10,1000,0.0,0.0,50.0,1000,1000,999,999,49809.703125,0.020056
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,1000,999,999,48331.097656,0.020670
2,1000,0.0,0.0,50.0,1000,1000,999,999,50161.519531,0.019916
3,1000,0.0,0.0,50.0,1000,1000,999,999,49187.621094,0.020310
4,1000,0.0,0.0,50.0,1000,1000,999,999,50264.628906,0.019875
5,1000,0.0,0.0,50.0,1000,1000,999,999,50017.492188,0.019973
6,1000,0.0,0.0,50.0,1000,1000,999,999,49845.222656,0.020042
7,1000,0.0,0.0,50.0,1000,1000,999,999,50909.996094,0.019623
8,1000,0.0,0.0,50.0,1000,1000,999,999,50207.347656,0.019897
9,1000,0.0,0.0,50.0,1000,1000,999,999,48940.335938,0.020413
10,1000,0.0,0.0,50.0,1000,1000,999,999,49809.703125,0.020056
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,120230,9058,121,50703.902344,0.002386
2,1000,0.8,0.2,50.0,1000,114809,8722,130,48761.140625,0.002666
3,1000,0.8,0.2,50.0,1000,115859,8817,140,49088.035156,0.002852
4,1000,0.8,0.2,50.0,1000,118802,8990,122,50368.320312,0.002422
5,1000,0.8,0.2,50.0,1000,115377,8811,144,49847.539062,0.002889
6,1000,0.8,0.2,50.0,1000,113161,8691,141,49024.335938,0.002876
7,1000,0.8,0.2,50.0,1000,118754,8998,122,50344.464844,0.002423
8,1000,0.8,0.2,50.0,1000,123300,9377,137,52184.179688,0.002625
9,1000,0.8,0.2,50.0,1000,114478,8656,128,48536.390625,0.002637
10,1000,0.8,0.2,50.0,1000,120882,9170,138,51197.437500,0.002695
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,104008,8417,200,48775.257812,0.004100
2,1000,0.6,0.2,50.0,1000,114636,9164,177,50512.746094,0.003504
3,1000,0.6,0.2,50.0,1000,111175,8979,206,51192.667969,0.004024
4,1000,0.6,0.2,50.0,1000,120423,9257,137,51490.035156,0.002661
5,1000,0.6,0.2,50.0,1000,116107,8875,135,49329.882812,0.002737
6,1000,0.6,0.2,50.0,1000,43967,5962,740,49930.859375,0.014820
7,1000,0.6,0.2,50.0,1000,118358,9174,121,50335.601562,0.002404
8,1000,0.6,0.2,50.0,1000,116331,8938,164,51192.109375,0.003204
9,1000,0.6,0.2,50.0,1000,112319,9007,187,50136.414062,0.003730
10,1000,0.6,0.2,50.0,1000,117265,9080,141,50528.121094,0.002791
